Gene,Regulation_in_hypoxia
FLJ10134,up
FAM13A1,up
GJA1,up
SOX9,up
LOXL2,up
WISP2,up
E2IG5,up
ZNF395,up
PRRX1,up
RET,down
CXCL12,down
NAPA,down
ADM,up
FLJ10134,up
IGFBP3,up
EGFR,up
FOS,up
FAM13A1,up
NDRG1,up
GJA1,up
CA9,up
ALDOC,up
SOX9,up
SPAG4,up
ENO2,up
LOC,up
ITPR1,up
PHD3,up
HLA-DRB3,up
RET,down
CTPS,down
ATP2A3,down
EIF5A,down
SLC29A1,down
RANGAP1,down
TAF9L,down
CORO1A,down
TFAP2C,down
LOC113251,down
ARHGDIA,down
HSPA4,down
ARHGDIA,down
ABCF2,down
ARPC4,down
N-PAC,down
ODC-1,down
CHK,down
